Suriname	hasOfficialLanguage	Dutch_language
Saint-Louis,_Réunion	isLocatedIn	France
Tim_Bredbury	playsFor	South_China_AA
Haris_Medunjanin	isAffiliatedTo	Maccabi_Tel_Aviv_F.C.
Maria_I_of_Portugal	hasGender	female
Pablo_Brenes	playsFor	Municipal_Pérez_Zeledón
Mark_Marshall	playsFor	Coventry_City_F.C.
Denis_Rouleau	playsFor	FC_Amur-2010_Blagoveshchensk
Fred_Binney	isAffiliatedTo	Torquay_United_F.C.
Ebenezer_Hagan	playsFor	Iraklis_Thessaloniki_F.C.
Jim_St._Andre	isAffiliatedTo	Colorado_Foxes
Matt_Carragher	isAffiliatedTo	Wigan_Athletic_F.C.
Ritham_Madubun	playsFor	Persipura_Jayapura
Daley_Mena	isAffiliatedTo	Dorados_de_Sinaloa
Emmanuel_Ansong	playsFor	Ghana_national_football_team
Municipality_of_Sveti_Andraž_v_Slovenskih_Goricah	isLocatedIn	nl/Stiermarken_(gebied)
Vyacheslav_Serdyuk	playsFor	FC_Naftovyk-Ukrnafta_Okhtyrka
Bruno_Leonardo_Vicente	playsFor	Calcio_Como
Francisco_Castro_(Portuguese_footballer)	wasBornIn	Fafe_Municipality
Lake_Victoria	isLocatedIn	African_Great_Lakes
Vara_Municipality	isLocatedIn	Western_Sweden
Horacio_Erpen	wasBornIn	Concepción_del_Uruguay
Ljubiša_Spajić	wasBornIn	Belgrade
Baltazar_(footballer)	playsFor	Jabaquara_Atlético_Clube
Chris_Elliott	actedIn	Snow_Day_(film)
Mounir_Soufiani	playsFor	R.A.E.C._Mons
Haris_Seferović	isAffiliatedTo	Neuchâtel_Xamax
Mehdi_Ben_Slimane	playsFor	Club_Africain
Avi_Strool	isAffiliatedTo	Maccabi_Tel_Aviv_F.C.
Harri_Ylönen	isAffiliatedTo	Finland_national_football_team
Frank_Kelly_(mathematician)	hasAcademicAdvisor	Peter_Whittle
Anej_Lovrečič	isAffiliatedTo	FC_Koper
Jim_McCrery	hasGender	male
Maximilian_Mehring	playsFor	SC_Freiburg
Nakor_Bueno	isAffiliatedTo	FC_Barcelona_B
Don_McAllister	playsFor	Washington_Diplomats
Naha	isLocatedIn	Ryūkyū_Islands
Darren_Daye	isAffiliatedTo	LNB_Pro_A
Fabio_Celestini	isAffiliatedTo	Switzerland_national_football_team
Lil'_Chris	hasGender	male
Andrew_Hutchinson	wasBornIn	Evanston,_Illinois
Segun_Atere	wasBornIn	Ibadan
Shinji_Fujiyoshi	playsFor	Chengdu_Tiancheng_F.C.
Ljuba_Baranin	hasGender	male
Vienna_International_Airport	isConnectedTo	Reggio_Calabria_Airport
Walter_Baseggio	isAffiliatedTo	A.F.C._Tubize
Svante_Arrhenius	influences	Oskar_Klein
Marie-Josée_Roig	hasGender	female
George_H._Plympton	created	The_Masked_Marvel
Yoann_Gourcuff	playsFor	Stade_Rennais_F.C.
Nándor_Hidegkuti	isAffiliatedTo	MTK_Budapest_FC
Marc_Pujol	wasBornIn	Andorra
The_Magic_Sword_(1962_film)	isLocatedIn	United_States
Marcelo_Ojeda	isAffiliatedTo	CD_Tenerife
Julius_Sterling_Morton	isAffiliatedTo	Democratic_Party_(United_States)
Enrico_Caviglia	diedIn	Finale_Ligure
Debbie_Bampton	isAffiliatedTo	Charlton_Athletic_L.F.C.
Paul_Hinshelwood	isAffiliatedTo	England_national_under-21_football_team
Evan_Bayh	isPoliticianOf	Indiana
Pierre_Laigle	isAffiliatedTo	France_national_football_team
Town_council	isLeaderOf	Princeton,_British_Columbia
Republic_of_Genoa	participatedIn	Battle_of_Crécy
Shinji_Tsujio	isAffiliatedTo	Shimizu_S-Pulse
Jessica_Alba	actedIn	Into_the_Blue_(2005_film)
Ringo_Sheena	hasMusicalRole	wordnet_harmonica_103494278
Jürgen_Trittin	isMarriedTo	Renate_Künast
Guillermo_Imhoff	playsFor	Club_Atlético_Colón
Tobias_Mikkelsen	isAffiliatedTo	Denmark_national_football_team
Simon_Jentzsch	playsFor	VfL_Wolfsburg
Panin_Sekuritas	isLocatedIn	Palembang
John_Mitchell_(American_football_coach)	playsFor	Bradford_Park_Avenue_A.F.C.
Ray_Burse	isAffiliatedTo	F.C._Dallas
Kenny_Williams_(basketball)	isAffiliatedTo	Israeli_Basketball_Super_League
Karunas	actedIn	Pudhiya_Geethai
Grgur_Radoš	isAffiliatedTo	FSV_Oggersheim
Ian_Holloway	playsFor	Bristol_Rovers_F.C.
Emmanuel_Ake	isAffiliatedTo	Holbæk_B&I
Yeung_Ching_Kwong	playsFor	Hong_Kong_national_football_team
Kazuyoshi_Mikami	isAffiliatedTo	Tokyo_Verdy
Thiago_Rangel_Cionek	playsFor	Cuiabá_Esporte_Clube
Nabendu_Ghosh	created	Ganga_Ki_Saugandh
Robert_Vujević	playsFor	Sportfreunde_Siegen
Andy_Fensome	playsFor	Morecambe_F.C.
Bill_Condon	hasGender	male
Matt_Damon	actedIn	Bourne_(film_series)
Sri_Potti_Sri_Ramulu_Nellore_district	isLocatedIn	Andhra_Pradesh
Christian_Olsen	playsFor	Íþróttabandalag_Vestmannaeyja
Kent_Beyda	edited	The_Flintstones_(film)
Gonzalo_Novoa	playsFor	Club_Universidad_de_Chile
Charles_Haughey	hasGender	male
Paulius_Paknys	playsFor	Puszcza_Niepołomice
Justice_John_Erhenede	isAffiliatedTo	FC_Midtjylland
Éric_Mura	playsFor	Olympique_Noisy-le-Sec
Leonhard_Euler	isCitizenOf	Switzerland
Ebrahim_Taghipour	playsFor	Nassaji_Mazandaran_F.C.
Aleksander_Knavs	isAffiliatedTo	Slovenia_national_football_team
Nora_Ephron	directed	Heartburn_(film)
Paulo_Sérgio_Betanin	isAffiliatedTo	E.C._Juventude
Amr_Zaki	playsFor	El_Mansoura_SC
Maria_Cristina_of_Savoy	hasGender	female
Archie_Roboostoff	playsFor	San_Jose_Earthquakes_(1974–88)
Otto_Wallach	graduatedFrom	University_of_Göttingen
Mark_Patterson_(footballer_born_1968)	isAffiliatedTo	Gillingham_F.C.
Len_Chappell	isAffiliatedTo	Chicago_Bulls
Mohd_Farderin_Kadir	isAffiliatedTo	Selangor_FA
Frank_Lloyd_Wright	hasGender	male
Miles_Joseph	playsFor	FC_Dallas
Abdoulaye_Baldé_(footballer)	playsFor	Amiens_SC
Kris_Lang	isAffiliatedTo	New_Basket_Brindisi
Manfred_Binz	playsFor	KSV_Klein-Karben
Oscar_Damiani	playsFor	Italy_national_football_team
Kenneth_Udjus	playsFor	SK_Brann
Vule_Trivunović	playsFor	KS_Cracovia_(football)
Battle_of_Saint-Mathieu	happenedIn	Brittany
Aleksandr_Vorobyov	isAffiliatedTo	Soviet_Union_national_football_team
Radviliškis_District_Municipality	isLocatedIn	Aukštaitija
Seekonk,_Massachusetts	isLocatedIn	Bristol_County,_Massachusetts
Aurélien_Capoue	playsFor	Chamois_Niortais_F.C.
Callum_Tapping	playsFor	Tottenham_Hotspur_F.C.
Tom_Bertram_(footballer)	hasGender	male
Roger_Cross_(footballer)	isAffiliatedTo	Leyton_Orient_F.C.
Joseph_Bologna	actedIn	Love_Is_All_There_Is
Duff_McKagan	hasGender	male
La_Mirada,_California	isLocatedIn	Los_Angeles_County,_California
Ismaël_Gace	playsFor	Paris_Saint-Germain_F.C.
de/Roever_Broenner_Susat	isLocatedIn	Hamburg
Richard_Ashcroft	hasMusicalRole	wordnet_synthesist_110687231
Ernst_Kaltenbrunner	hasGender	male
Andy_Thomas_(footballer_born_1977)	isAffiliatedTo	Newtown_A.F.C.
Rudolph_Nickolsburger	isAffiliatedTo	New_York_Hakoah
Brad_Renfro	actedIn	10th_&_Wolf
Henning_Mankell	wasBornIn	Stockholm
H._M._Walker	created	Angora_Love
Armenian–Azerbaijani_War	happenedIn	Russian_Soviet_Federative_Socialist_Republic
Leonel_Altobelli	hasGender	male
John_Mather_(mathematician)	wasBornIn	Los_Angeles
Yinka_Adedeji	playsFor	GIF_Sundsvall
Donald_Tusk	hasGender	male
Guru_Angad	playsFor	Algeria_national_football_team
Grand_Forks_International_Airport	isLocatedIn	Grand_Forks
François_Modesto	playsFor	AS_Monaco_FC
Mike_Twellman	playsFor	Dallas_Sidekicks_(1984–2004)
Marco_Paulo_Faria_Lemos	playsFor	G.D._Estoril_Praia
Heinz-Josef_Koitka	isAffiliatedTo	Alemannia_Aachen
Peter_Doležaj	playsFor	Slovakia_national_football_team
Manuel_Alexandre	wasBornIn	Madrid
Said_Bakkati	playsFor	ADO_Den_Haag
Emlyn_Williams	diedIn	London
Shea_Campbell	playsFor	Armagh_City_F.C.
Rod_Strickland	isAffiliatedTo	Orlando_Magic
Yuri_Yevlampyev	playsFor	FC_Dynamo_Bryansk
Ariclenes_da_Silva_Ferreira	isAffiliatedTo	AZ_Alkmaar
Aleix_Vidal	isAffiliatedTo	Panthrakikos_F.C.
Callum_Keith_Rennie	actedIn	Silk_(2007_film)
Tiko_Messina	playsFor	SD_Compostela
Michel_Loève	hasGender	male
Chester_Gould	hasWonPrize	Edgar_Award
Yakubu_Adamu	playsFor	FC_St._Pauli
James_Pullen	playsFor	A.F.C._Hornchurch
David_Carlsson_(footballer)	playsFor	FF_Jaro
Roger_Greenaway	hasWonPrize	Ivor_Novello_Awards
Communist_Party_of_Germany	participatedIn	German_Revolution_of_1918–19
North_York	isLocatedIn	Ontario
Aly_Cissokho	hasGender	male
Mauro_Bogado	playsFor	Everton_de_Viña_del_Mar
Piotr_Prędota	playsFor	Piast_Gliwice
Steven_Gray_(footballer)	isAffiliatedTo	Derry_City_F.C.
Deborah_Kara_Unger	actedIn	Sunshine_(1999_film)
Jim_Shooter	created	Legion_of_Super-Heroes
Silvano_Raggio_Garibaldi	isAffiliatedTo	Virtus_Entella
Norshahrul_Idlan_Talaha	playsFor	Malaysia_national_football_team
Radosav_Petrović	playsFor	FK_Partizan
Radja_Nainggolan	hasGender	male
Wilfred_Owen	influences	Patrick_Jones
Quentin_Tarantino	actedIn	The_Muppets'_Wizard_of_Oz
Silvano_Villa	playsFor	U.S._Pistoiese_1921
Arthur_Schmidt_(film_editor)	edited	Jaws_2
Andrej_Panadić	hasGender	male
Manuel_Lapuente	isAffiliatedTo	Puebla_F.C.
Cheikh_Gueye	isAffiliatedTo	FC_Metz
El_Salvador_International_Airport	isLocatedIn	La_Paz_Department_(El_Salvador)
Basil_Poledouris	wroteMusicFor	If_These_Walls_Could_Talk_2
Ruben_Boumtje-Boumtje	isAffiliatedTo	Orlando_Magic
Hrvoje_Tokić	playsFor	NK_Mosor
Arkadiusz_Czarnecki	isAffiliatedTo	Ruch_Wysokie_Mazowieckie
Pascal_Testroet	playsFor	Arminia_Bielefeld
Rory_Gallagher	diedIn	London
Lasse_Staw	playsFor	Syrianska_FC
Rail_Malikov	playsFor	Azerbaijan_national_football_team
Artak_Aleksanyan	playsFor	FC_Ural_Sverdlovsk_Oblast
Morten_Pedersen	playsFor	Borussia_Mönchengladbach
Joseph_Keller	hasAcademicAdvisor	Richard_Courant
Simone_de_Beauvoir	influences	Shulamith_Firestone
Vikram_(actor)	actedIn	Bheemaa
Billy_Eckstine	hasMusicalRole	wordnet_vocal_music_107282006
Tobias_Holmqvist	playsFor	GAIS
Central_Finland	isLocatedIn	Western_Finland
Holger_Gehrke	isAffiliatedTo	Karlsruher_SC
Matteo_Lunati	hasGender	male
Chidi_Nwanu	isAffiliatedTo	KFC_Diest
Pablo_Álvarez_Menéndez	wasBornIn	Montevideo
Terry_Wilson_(footballer)	isAffiliatedTo	Hønefoss_BK
Goran_Kartalija	isAffiliatedTo	F.K._Vojvodina
Brad_Sellers	isAffiliatedTo	Gijón_Baloncesto
Mariscal_Luzuriaga_Province	isLocatedIn	Ancash_Region
Rage_Against_the_Machine	hasWonPrize	NME_Awards
Dunkirk	isLocatedIn	France
Xavier_García_(footballer)	hasGender	male
Brandenburg-Prussia	isLocatedIn	Holy_Roman_Empire
Shane_Guthrie	playsFor	Republic_of_Ireland_national_under-23_football_team
Shadi_Abu_Dib	playsFor	Hapoel_Jerusalem_F.C.
Ervin_Bulku	isAffiliatedTo	Sepahan_Esfahan_FC
Zlatko_Papec	playsFor	HNK_Rijeka
Mark_Seagraves	hasGender	male
Cyril_Robinson	playsFor	Northwich_Victoria_F.C.
Frank_Dehne	isAffiliatedTo	Galatasaray_Men's_Volleyball_Team
Pritam_Chakraborty	created	Once_Upon_a_Time_in_Mumbaai
Yale_School_of_Medicine	isLocatedIn	United_States
Ian_Curtis	hasMusicalRole	wordnet_synthesist_110687231
Richard_II_of_England	hasChild	John_of_Gaunt,_1st_Duke_of_Lancaster
Kim_Hyung-il	isAffiliatedTo	South_Korea_national_football_team
Jonathan_Charquero	isAffiliatedTo	Juventud_de_Las_Piedras
Richmond_Forson	isAffiliatedTo	FC_Metz
Otis_Thorpe	isAffiliatedTo	Sacramento_Kings
József_Nagy_(footballer_born_1892)	isAffiliatedTo	IFK_Malmö
Sherbet_(band)	hasWonPrize	ARIA_Music_Awards
Gustav_Kirchhoff	graduatedFrom	University_of_Königsberg
Brian_Borrows	hasGender	male
Ljusnarsberg_Municipality	isLocatedIn	Örebro_County
Willie_Nile	hasMusicalRole	wordnet_harmonica_103494278
Minnesota_State_University,_Mankato	isLocatedIn	Mankato,_Minnesota
Víctor_Miranda	isAffiliatedTo	Tauro_F.C.
Ilhom_Mo'minjonov	hasGender	male
Barbara_Follett_(politician)	livesIn	Hertfordshire
Kabir_Bedi	hasGender	male
Aleksei_Solosin	playsFor	FC_Spartak_Moscow
Javaris_Crittenton	isAffiliatedTo	Los_Angeles_Lakers
Luděk_Zelenka	isAffiliatedTo	SK_Slavia_Prague
Clifford_Geertz	hasWonPrize	Fukuoka_Asian_Culture_Prize
Adolfo_Gori	playsFor	A.S._Lucchese_Libertas_1905
Dan_LaCouture	isAffiliatedTo	Barys_Astana
Christian_McClean	playsFor	Bristol_Rovers_F.C.
Kingsley_Amuneke	playsFor	SC_Eendracht_Aalst
Carlos_Cárdenas	playsFor	Bolivia_national_football_team
Maria_of_Austria,_Holy_Roman_Empress	isMarriedTo	Maximilian_II,_Holy_Roman_Emperor
Nogales,_Sonora	isLocatedIn	Sonora
de/Carsten_Gosdeck	isAffiliatedTo	de/Moskitos_Essen
Powers_Boothe	actedIn	Extreme_Prejudice_(film)
Jes_Høgh	isAffiliatedTo	Aalborg_Boldspilklub
George_dos_Santos_Paladini	isAffiliatedTo	América_Futebol_Clube_(RN)
Michael_McGlinchey	playsFor	New_Zealand_national_football_team
California_State_Polytechnic_University,_Pomona	isLocatedIn	Pomona,_California
Carlos_Discua	isAffiliatedTo	Club_Deportivo_Olimpia
Hiromasa_Yamamoto	playsFor	Cerezo_Osaka
Vitaliy_Havrysh	isAffiliatedTo	FC_Desna_Chernihiv
Carsten_Fredgaard	wasBornIn	Hørsholm_Municipality
Aritz_Aduriz	wasBornIn	San_Sebastian
Amrish_Puri	actedIn	Zubeidaa
Manavgat	isLocatedIn	Antalya_Province
Bobby_Tambling	playsFor	Chelsea_F.C.
Fabrizio_Biava	isAffiliatedTo	Ternana_Calcio
Russ_Meyer	hasGender	male
Bank_of_America	isLocatedIn	Charlotte
Kate_Markgraf	playsFor	Boston_Breakers_(WUSA)
Peter_Larsson_(footballer_born_1984)	hasGender	male
Johnny_Torres	isAffiliatedTo	Miami_Fusion
Stillwater,_Minnesota	isLocatedIn	United_States
Lennart_Meri	hasWonPrize	Order_of_the_White_Rose_of_Finland
José_Amaya	isAffiliatedTo	Patriotas_F.C.
Ocean_City,_Maryland	isLocatedIn	Worcester_County,_Maryland
Aloísio_Pires_Alves	isAffiliatedTo	FC_Barcelona
Anthony_Higgins_(actor)	actedIn	The_Bridge_(1992_film)
Anders_Fogh_Rasmussen	hasChild	Lars_Løkke_Rasmussen
Sharyn_McCrumb	hasWonPrize	Edgar_Award
Iain_Dunn	playsFor	Scunthorpe_United_F.C.
Ori_Uzan	playsFor	Israel_national_football_team
Albert_Finney	actedIn	Traffic_(2000_film)
David_Riley	playsFor	King's_Lynn_F.C.
Mladen_Pelaić	playsFor	Standard_Liège
Josh_Sole	isAffiliatedTo	Rugby_Viadana
David_Jeffrey	playsFor	Manchester_United_F.C.
Mauricio_Solís	hasGender	male
Josh_Brolin	actedIn	Planet_Terror
Jimmy_Loughran	playsFor	Goole_A.F.C.
Alexander_Kazakov	hasWonPrize	Distinguished_Service_Order
Georginio_Wijnaldum	playsFor	Netherlands_national_under-19_football_team
Darrin_Hancock	isAffiliatedTo	Aix_Maurienne_Savoie_Basket
Belle_Bennett	diedIn	Los_Angeles
Sebastiano_Rossi	wasBornIn	Cesena
Jamie_McKenzie_(footballer_born_1986)	playsFor	Montrose_F.C.
Champaign_County,_Illinois	isLocatedIn	Champaign_County
Mohd_Farizal_Marlias	playsFor	Pahang_FA
Shaun_Newton	playsFor	Wolverhampton_Wanderers_F.C.
Hamilton,_Victoria	isLocatedIn	Victoria_(state)
Pythagoras	influences	Euclid
Yohei_Fukumoto	isAffiliatedTo	Oita_Trinita
Dan_Hedaya	actedIn	Strangers_with_Candy_(film)
Sophia_Loren	actedIn	Houseboat_(film)
Christian_Paoletti	playsFor	Atletico_Roma_F.C.
Moestafa_El_Kabir	playsFor	Blauw-Wit_Amsterdam
Dejan_Lazarević	isAffiliatedTo	Calcio_Padova
Sundergarh_district	isLocatedIn	India
Haveri_district	isLocatedIn	Karnataka
Geoff_Hutt	playsFor	Huddersfield_Town_F.C.
Faton_Toski	isAffiliatedTo	FSV_Frankfurt
Hristo_Mladenov	isAffiliatedTo	PFC_Spartak_Pleven
Robert_Lamm	hasMusicalRole	wordnet_guitar_103467517
Kate_Capshaw	actedIn	A_Little_Sex
William_Nigh	diedIn	Burbank
Hatem_Aqel	wasBornIn	Amman
Gene_Ha	hasWonPrize	Eisner_Award
Joe_McLaughlin_(footballer)	isAffiliatedTo	Greenock_Morton_F.C.
Jan_Brewer	hasGender	female
Salif_Diao	isAffiliatedTo	AS_Monaco_FC
Jackie_McNamara	isAffiliatedTo	Falkirk_F.C.
North_Savonia	isLocatedIn	Finland
Kazuhiro_Suzuki	playsFor	JEF_United_Ichihara_Chiba
Psikyo	isLocatedIn	Kyoto
Kamil_Agalarov	hasGender	male
Chadli_Amri	hasGender	male
Ruggero_Mastroianni	edited	Il_Marchese_del_Grillo
Walter_Weiler	isAffiliatedTo	Le_Havre_A.C.
Gackt	hasMusicalRole	wordnet_piano_103928116
César_Augusto_Rivas	playsFor	Equatorial_Guinea_national_football_team
Charles_XIII_of_Sweden	hasGender	male
Stuart_Mason	isAffiliatedTo	Bangor_City_F.C.
Sam_Shepard	actedIn	Country_(film)
Christopher_Dibon	isAffiliatedTo	F.C._Red_Bull_Salzburg
Desmond_Tachie	playsFor	AaB_Fodbold
Paul_Bourget	graduatedFrom	École_pratique_des_hautes_études
Alexandre_Comisetti	hasGender	male
Manuel_Bühler	playsFor	FC_Sion
Scott_Mitchell_(footballer)	playsFor	Peterborough_United_F.C.
Massimiliano_Esposito	playsFor	Brescia_Calcio
Kim_Byong-joon	playsFor	England_national_under-16_football_team
Omar_de_Jesús	isAffiliatedTo	Sociedad_Deportiva_Aucas
Erwan_Quintin	playsFor	L'Entente_SSG
Constantine_II_of_Greece	wasBornIn	Athens
Chris_Booker_(basketball)	isAffiliatedTo	Czarni_Słupsk
Robert_Flemyng	wasBornIn	Liverpool
Vic	isLocatedIn	Osona
Dos_de_Mayo_Province	isLocatedIn	Huánuco_Region
Woo_Sung-yong	playsFor	Pohang_Steelers
Ruslan_Rotan	hasGender	male
Nicolai_Wael	playsFor	Vejle_Boldklub
Alexandre_Edílson_de_Freitas	isAffiliatedTo	SC_Young_Fellows_Juventus
Lucas_Bernardi	isAffiliatedTo	Newell's_Old_Boys
Oleksandr_Sytnik	isAffiliatedTo	FC_Kaisar
Cañon_City,_Colorado	isLocatedIn	Fremont_County,_Colorado
Thomas_Helveg	isAffiliatedTo	Borussia_Mönchengladbach
John_Avalos	isAffiliatedTo	Democratic_Party_(United_States)
Louis_L'Amour	diedIn	Los_Angeles
Wauchula,_Florida	isLocatedIn	Hardee_County,_Florida
Robert_Young_(actor)	actedIn	Crossfire_(film)
Biga,_Çanakkale	isLocatedIn	Turkey
Gary_Browne	isAffiliatedTo	Whitby_Town_F.C.
Peter_Cosgrove	hasWonPrize	Australian_of_the_Year
Fort_Meade,_Florida	isLocatedIn	Florida
Nikolai_Ryzhkov	isAffiliatedTo	Communist_Party_of_the_Soviet_Union
Ondigui_Adams	isAffiliatedTo	Santos_FC
Bonaventure_Airport	isConnectedTo	Bathurst_Airport_(New_Brunswick)
Matthias_Holst	playsFor	Hamburger_SV_II
David_Sinclair_(footballer_born_1969)	playsFor	Falkirk_F.C.
Andrea_Esposito	isAffiliatedTo	U.S._Lecce
Edmund_Crouchback	wasBornIn	London
Martín_Romagnoli	playsFor	Racing_Club_de_Avellaneda
Vittorio_Pozzo	playsFor	Torino_F.C.
Christian_McClean	playsFor	Swansea_City_A.F.C.
Alan_Lowenthal	livesIn	California
Ciriaco_Sforza	playsFor	Grasshopper_Club_Zürich
Constantine_IX_Monomachos	hasChild	Zoe_Porphyrogenita
Waldemar_Young	hasGender	male
Hassoun_Camara	isAffiliatedTo	Montreal_Impact
Adam_Newbold	isAffiliatedTo	Ballarat_Red_Devils
Derk_Boerrigter	playsFor	PEC_Zwolle
Eduardo_Magnin	playsFor	Deportivo_Saprissa
Sabiha_Gökçen_International_Airport	isConnectedTo	Voronezh_International_Airport
Réda_Johnson	playsFor	FC_Gueugnon
Ronnie_Burke	playsFor	Rotherham_United_F.C.
Karl_Rappan	isAffiliatedTo	FC_Zürich
Gökhan_Süzen	playsFor	Beşiktaş_J.K.
Dan_Schneider_(TV_producer)	graduatedFrom	Harvard_University
Cleidimar_Magalhães_Silva	isAffiliatedTo	Santa_Cruz_Futebol_Clube
Billy_Sweetzer	playsFor	Brentford_F.C.
Christian_Slater	actedIn	Alone_in_the_Dark_(2005_film)
Carlos_Martínez_de_Irujo,_Duke_of_Sotomayor	playsFor	Gyirmót_SE
Hjalgrím_Elttør	isAffiliatedTo	B36_Tórshavn
Edin_Ćurić	playsFor	Yugoslavia_national_football_team
Dmitri_Borodin	playsFor	FC_Torpedo_Moscow
Tommy_Jones_(footballer_born_1909)	playsFor	Watford_F.C.
Russo-Swedish_War_(1590–95)	happenedIn	Baltic_Sea
Marcin_Krzywicki	isAffiliatedTo	Ruch_Radzionków
Down_to_Earth_(1947_film)	isLocatedIn	United_States
Radoslav_Samardžić	playsFor	SC_Heerenveen
Darnell_Mee	isAffiliatedTo	Canberra_Cannons
Ondřej_Švejdík	wasBornIn	Opava
Martin_Short	actedIn	Hoodwinked_Too!_Hood_vs._Evil
Kane_Richmond	actedIn	Haunted_Harbor
Caroline_Graham	hasWonPrize	Macavity_Awards
Agartala_Airport	isConnectedTo	Kempegowda_International_Airport
Francesco_Bolzoni	isAffiliatedTo	Genoa_C.F.C.
Janez_Zavrl_(footballer)	playsFor	NK_Radomlje
Jimmy_Doolittle	hasWonPrize	Order_of_the_Condor_of_the_Andes
Hadi_Tabatabaei	playsFor	Esteghlal_F.C.
Bruno_Uvini	playsFor	São_Paulo_FC
Juelz_Santana	playsFor	POFC_Botev_Vratsa
David_Castedo	isAffiliatedTo	R.C.D._Mallorca
Daniel_Piorkowski	playsFor	Melbourne_Knights_FC
Ewald_Lienen	hasGender	male
Charles_Baudelaire	influences	Orhan_Veli_Kanık
Wallace_Shawn	actedIn	Toy_Story_3
Christos_Harissis	isAffiliatedTo	P.A.O.K._B.C.
Frank_Frazetta	influences	Greg_Capullo
Anne_d'Alençon	playsFor	Vicenza_Calcio
Carl_Jones	playsFor	Shildon_A.F.C.
Mike_Rutherford	hasMusicalRole	wordnet_cello_102992211
Carl_Ferdinand_Cori	graduatedFrom	Karl-Ferdinands-Universität
Carlo_Sartori	isAffiliatedTo	A.C._Rimini_1912
Shelley_Fabares	hasGender	female
Yasutaka_Nakata	hasMusicalRole	wordnet_turntable_104501550
Georgi_Karaneychev	playsFor	FC_Svilengrad_1921
Jonathan_Akpoborie	playsFor	Brooklyn_College
John_Kerr,_Sr.	isAffiliatedTo	New_York_Cosmos
Graham_Ward	playsFor	Worcester_City_F.C.
Jules_White	directed	Husbands_Beware
Jimmy_Mills	playsFor	Philadelphia_Field_Club
Anne_Baxter	actedIn	Swamp_Water
Stu_Grimson	hasGender	male
Ronnie_Mauge	playsFor	Manchester_City_F.C.
John_Ritter	actedIn	Noises_Off_(film)
Głowno	isLocatedIn	Gmina_Głowno
Pardubice_Airport	isConnectedTo	Domodedovo_International_Airport
Aleksandr_Vasilevsky	hasWonPrize	Order_of_Victory
Jack_Peddie	playsFor	Newcastle_United_F.C.
Swiss_peasant_war_of_1653	happenedIn	Schaffhausen
Tomáš_Jablonský	playsFor	FK_Baumit_Jablonec
Pobedilovo_Airport	isConnectedTo	Vnukovo_International_Airport
Mark_Paston	isAffiliatedTo	Napier_City_Rovers_FC
Murali_(Malayalam_actor)	actedIn	Pathram
Thompson_Oliha	diedIn	Ilorin
Oliver_Goldsmith	graduatedFrom	Trinity_College,_Dublin
Wyn_Davies	wasBornIn	Caernarfon
Buon_Ma_Thuot_Airport	isConnectedTo	Da_Nang_International_Airport
Gene_Clark	hasMusicalRole	wordnet_harmonica_103494278
Ian_Gray_(English_footballer)	playsFor	Rochdale_A.F.C.
Alessandro_Agostini	isAffiliatedTo	Hellas_Verona_F.C.
Pacific_Lutheran_University	isLocatedIn	United_States
Claire_Simpson	edited	The_Constant_Gardener_(film)
Diedrich_Bader	actedIn	Meet_the_Spartans
Bratislav_Živković	isAffiliatedTo	FK_BASK
Wilhelm_II,_German_Emperor	hasWonPrize	Order_of_the_Crown_(Prussia)
Jaroslav_Vejvoda	isAffiliatedTo	SK_Slavia_Prague
Česká_Lípa	isLocatedIn	Česká_Lípa_District
Jacky_Bonnevay	isAffiliatedTo	FC_Sochaux-Montbéliard
William_Sarvis	isAffiliatedTo	Manchester_United_F.C.
Morten_Harket	hasGender	male
de/Evren_Turhan	isAffiliatedTo	Turkey_national_under-21_football_team
Sogndal	isLocatedIn	West_Norway
Alf_Young	isAffiliatedTo	York_City_F.C.
Mohsin_Hamid	isCitizenOf	United_Kingdom
Frank_Shu	worksAt	National_Tsing_Hua_University
Lionel_Djebi-Zadi	isAffiliatedTo	Ross_County_F.C.
Álex_Erazo	playsFor	C.D._Luis_Ángel_Firpo
Vik_Lalić	wasBornIn	Makarska
Gerald_Fried	wroteMusicFor	The_Cabinet_of_Caligari
Nikolai_Ivanovich_Kiselev	isAffiliatedTo	FC_Gomel
István_Sallói	isAffiliatedTo	Videoton_FC
Battle_of_Changsha_(1944)	happenedIn	Hunan
George_L._Brown	isPoliticianOf	Colorado
Vicente_Romero_Romero	isAffiliatedTo	Valencia_CF
Bobby_Veck	playsFor	Southampton_F.C.
Vince_Vaughn	actedIn	Jurassic_Park
Samir_Merzić	isAffiliatedTo	FK_Senica
William_V._Roth,_Jr.	diedIn	Washington,_D.C.
Serhiy_Kravchenko_(footballer_born_1983)	isAffiliatedTo	FC_Dynamo_Kyiv
Peter_Cushing	actedIn	Dracula_(1958_film)
Jaya_Prada	actedIn	Khakee
Helmut_Haller	isAffiliatedTo	Bologna_F.C._1909
Dhahran	isLocatedIn	Saudi_Arabia
John_Craven_(footballer)	isAffiliatedTo	California_Surf
Pyotr_Gitselov	isAffiliatedTo	Mjällby_AIF
Wojciech_Krauze	playsFor	LKS_Nieciecza
Darío_Verón	playsFor	Cobreloa
Mindy_Kaling	graduatedFrom	Dartmouth_College
Yutaka_Akita	playsFor	Nagoya_Grampus
Juan_Carlos_Morrone	isAffiliatedTo	F.C._Crotone
Golden,_Colorado	isLocatedIn	Colorado
